,submission_status,work_rate,extra_time_min,average_answer_time_in_min,progress_percent
4860,passed,normal,0.0,65.4,38.0
4861,passed,slow,48.0,228.0,38.0
4862,passed,fast,0.0,124.19999999999999,38.0
4863,passed,normal,0.0,62.400000000000006,38.0
4864,passed,fast,0.0,109.2,38.0
4865,passed,slow,172.5,352.5,38.0
4866,passed,normal,0.0,115.19999999999999,38.0
4867,passed,normal,0.0,76.8,38.0
4868,passed,fast,0.0,48.6,38.0
4869,passed,slow,121.79999999999995,481.79999999999995,38.0
4870,passed,fast,0.0,75.0,38.0
4871,passed,normal,0.0,74.4,59.0
4872,passed,normal,0.0,139.8,59.0
4873,passed,slow,172.8,352.8,59.0
4874,passed,normal,0.0,66.0,59.0
4875,passed,fast,0.0,89.0625,59.0
4876,passed,fast,0.0,62.400000000000006,59.0
4877,passed,slow,141.59999999999997,501.59999999999997,59.0
4878,passed,slow,39.60000000000002,399.6,59.0
4879,passed,normal,0.0,116.39999999999999,59.0
4880,passed,fast,0.0,139.2,59.0
4881,passed,fast,0.0,82.8,59.0
4882,passed,fast,0.0,94.2,59.0
4883,passed,normal,0.0,77.69999999999999,59.0
4884,passed,slow,322.80000000000007,682.8000000000001,59.0
4885,passed,normal,0.0,67.2,59.0
4886,passed,slow,306.0,666.0,59.0
4887,passed,fast,0.0,84.0,59.0
4888,passed,fast,0.0,72.0,59.0
4889,passed,fast,0.0,130.8,59.0
4890,passed,fast,0.0,45.9,59.0
4891,passed,normal,0.0,117.6,59.0
4892,passed,fast,0.0,31.200000000000003,59.0
4893,passed,fast,0.0,174.60000000000002,59.0
4894,passed,fast,0.0,35.1,59.0
4895,passed,fast,0.0,69.0,59.0
4896,passed,normal,0.0,118.8,59.0
4897,passed,fast,0.0,40.800000000000004,59.0
4898,passed,normal,0.0,130.8,59.0
4899,passed,normal,0.0,93.60000000000001,59.0
4900,passed,fast,0.0,64.80000000000001,59.0
4901,passed,fast,0.0,62.400000000000006,59.0
4902,passed,normal,0.0,73.8,21.0
4903,passed,fast,0.0,17.400000000000002,21.0
4904,passed,fast,0.0,60.6,21.0
4905,passed,normal,0.0,70.8,21.0
4906,passed,fast,0.0,154.2,21.0
4907,passed,slow,30.599999999999994,210.6,21.0
4908,passed,fast,0.0,54.6,21.0
4909,passed,slow,2968.2,3148.2,21.0
4910,passed,slow,2761.8,2941.8,21.0
